AB_2;MN_2;I;Unidad_I;V;Unidad_V;R;Unidad_R;PS;Unidad_PS;Latitud;Longitud
1;0.5;123;mA;1.9;V;15.6;Ohm;16.7;mV;-5.17707;-80.61434
3;0.5;91.4;mA;153.9;mV;1.7;Ohm;23.9;mV;-5.17707;-80.61434
3;1;92.1;mA;323.7;mV;3.5;Ohm;40.5;mV;-5.17707;-80.61434
5;1;93.1;mA;147.1;mV;1.6;Ohm;29.5;mV;-5.17707;-80.61434
7;1;74.4;mA;69.2;mV;930.2;mOhm;29;mV;-5.17707;-80.61434
10;1;93.3;mA;45.1;mV;493.6;mOhm;27.7;mV;-5.17707;-80.61434
15;1;133.5;mA;34.7;mV;259.5;mOhm;26.7;mV;-5.17707;-80.61434
15;3;133.8;mA;96.8;mV;723.3;mOhm;65.1;mV;-5.17707;-80.61434
20;3;110.7;mA;45.4;mV;410.3;mOhm;69.5;mV;-5.17707;-80.61434
30;3;55;mA;6.6;mV;119.2;mOhm;76.9;mV;-5.17707;-80.61434
40;3;121.4;mA;7;mV;57.8;mOhm;82.8;mV;-5.17707;-80.61434
40;5;121.6;mA;11.9;mV;97.8;mOhm;24;mV;-5.17707;-80.61434
50;5;58.2;mA;2.3;mV;39;mOhm;19;mV;-5.17707;-80.61434
60;5;113;mA;2.1;mV;19;mOhm;14.6;mV;-5.17707;-80.61434
80;5;114.3;mA;1.1;mV;9.3;mOhm;11.4;mV;-5.17707;-80.61434
80;10;115.8;mA;2.2;mV;18.6;mOhm;29.1;mV;-5.17707;-80.61434
100;10;68.9;mA;591.2;uV;8.6;mOhm;36;mV;-5.17707;-80.61434
